#WL	ARC14
337	0.0001
338	0.001
339	0.0083
340	0.0819
341	0.117
342	0.169
343	0.2467
344	0.3634
345	0.5398
346	0.808
347	1.2176
348	1.8472
349	2.8225
350	4.3498
351	6.6553
352	8.7187
353	11.567
354	15.6355
355	21.5205
356	28.6286
357	37.6389
358	48.1765
359	58.7664
360	65.5196
361	68.6765
362	69.4469
363	68.8412
364	67.8597
365	67.7988
366	68.504
367	70.0197
368	72.4086
369	75.6177
370	79.0332
371	82.0219
372	84.7146
373	86.5495
374	87.0054
375	85.7543
376	82.646
377	77.9364
378	72.258
379	66.1577
380	60.0801
381	54.3224
382	49.2991
383	44.9367
384	40.9631
385	37.382
386	34.1824
387	31.3447
388	28.8357
389	26.5808
390	24.6602
391	23.0422
392	21.6995
393	20.6089
394	19.752
395	19.1146
396	18.6014
397	18.2452
398	18.0614
399	18.051
400	18.2188
401	18.5743
402	19.1322
403	19.9212
404	20.9712
405	22.3091
406	23.9736
407	26.0035
408	28.4363
409	31.2937
410	34.5604
411	38.2084
412	42.0643
413	45.6667
414	48.4933
415	49.9985
416	49.8199
417	47.9523
418	44.7535
419	40.7731
420	36.772
421	33.0276
422	29.5572
423	26.439
424	23.6907
425	21.2955
426	19.2189
427	17.4209
428	15.8613
429	14.5033
430	13.2768
431	12.2013
432	11.251
433	10.4047
434	9.6449
435	8.9579
436	8.3329
437	7.7619
438	7.2369
439	6.7525
440	6.3258
441	5.9289
442	5.5598
443	5.2167
444	4.8981
445	4.6029
446	4.3299
447	4.0778
448	3.8458
449	3.6326
450	3.4373
451	3.2574
452	3.0938
453	2.9453
454	2.8111
455	2.6902
456	2.5818
457	2.4849
458	2.3989
459	2.3231
460	2.2568
461	2.1995
462	2.1509
463	2.1106
464	2.0782
465	2.0535
466	2.0363
467	2.0264
468	2.0239
469	2.0289
470	2.0413
471	2.0614
472	2.0895
473	2.1259
474	2.1706
475	2.2185
476	2.2753
477	2.3418
478	2.4188
479	2.5075
480	2.6089
481	2.7246
482	2.8563
483	3.006
484	3.1762
485	3.3697
486	3.5899
487	3.8409
488	4.1322
489	4.4718
490	4.8632
491	5.3158
492	5.8414
493	6.4543
494	7.1725
495	8.0181
496	9.0192
497	10.2107
498	11.6369
499	13.3536
500	15.4311
501	17.957
502	21.0258
503	24.7583
504	29.3107
505	34.8327
506	41.4487
507	49.198
508	57.9385
509	67.2256
510	76.235
511	83.8384
512	88.9063
513	90.7564
514	89.4381
515	85.6389
516	80.3214
517	74.4544
518	68.6665
519	63.2362
520	58.3396
521	54.0355
522	50.316
523	47.1404
524	44.4553
525	42.2057
526	40.3403
527	38.8139
528	37.5883
529	36.6316
530	35.9179
531	35.4269
532	35.1427
533	35.0538
534	35.1522
535	35.4145
536	35.8423
537	36.4428
538	37.2187
539	38.1749
540	39.3177
541	40.6554
542	42.1976
543	43.9546
544	45.9372
545	48.1562
546	50.6206
547	53.3363
548	56.3059
549	59.5252
550	62.9808
551	66.647
552	70.483
553	74.3602
554	78.2628
555	82.1046
556	85.7753
557	89.1524
558	92.1101
559	94.5297
560	96.312
561	97.388
562	97.7273
563	97.3412
564	96.2797
565	94.6246
566	92.4791
567	89.956
568	87.1685
569	84.2213
570	81.2063
571	78.1996
572	75.2617
573	72.3521
574	69.5179
575	66.8743
576	64.4358
577	62.2088
578	60.1933
579	58.3877
580	56.7874
581	55.3843
582	54.1708
583	53.1396
584	52.2835
585	51.5961
586	51.0718
587	50.7058
588	50.4952
589	50.4381
590	50.5299
591	50.7704
592	51.1605
593	51.7013
594	52.3949
595	53.2093
596	54.163
597	55.2623
598	56.5109
599	57.9121
600	59.4693
601	61.185
602	63.0606
603	65.0958
604	67.2879
605	69.6308
606	72.1142
607	74.7222
608	77.4323
609	80.214
610	83.0277
611	85.8241
612	88.5437
613	91.1176
614	93.4689
615	95.5162
616	97.1775
617	98.3762
618	99.0465
619	99.1405
620	98.6347
621	97.529
622	95.8482
623	93.6403
624	90.9726
625	87.9255
626	84.586
627	81.0415
628	77.3749
629	73.6605
630	69.962
631	66.3314
632	62.8093
633	59.4255
634	56.2006
635	53.1471
636	50.2714
637	47.5748
638	45.0548
639	42.7062
640	40.5219
641	38.4938
642	36.6129
643	34.8699
644	33.2561
645	31.7671
646	30.3913
647	29.1172
648	27.9371
649	26.844
650	25.8312
651	24.8925
652	24.0224
653	23.2157
654	22.4677
655	21.7738
656	21.1302
657	20.5331
658	19.9791
659	19.4654
660	18.9892
661	18.5479
662	18.1392
663	17.7609
664	17.4113
665	17.0884
666	16.7907
667	16.5167
668	16.2653
669	16.0356
670	15.826
671	15.6353
672	15.4627
673	15.3072
674	15.1683
675	15.0458
676	14.9387
677	14.8466
678	14.7689
679	14.7052
680	14.655
681	14.618
682	14.5939
683	14.5824
684	14.5833
685	14.5963
686	14.6212
687	14.6581
688	14.7067
689	14.767
690	14.839
691	14.9225
692	15.0178
693	15.1247
694	15.2433
695	15.3738
696	15.5163
697	15.6709
698	15.8377
699	16.0169
700	16.2088
701	16.4135
702	16.6313
703	16.8626
704	17.1076
705	17.3666
706	17.64
707	17.9114
708	18.1966
709	18.4961
710	18.81
711	19.1389
712	19.4832
713	19.8431
714	20.2193
715	20.612
716	21.0219
717	21.4492
718	21.8946
719	22.3585
720	22.8415
721	23.344
722	23.8666
723	24.4099
724	24.9743
725	25.5604
726	26.1687
727	26.7999
728	27.4543
729	28.1327
730	28.8354
731	29.563
732	30.3159
733	31.0946
734	31.8996
735	32.7312
736	33.5898
737	34.4756
738	35.389
739	36.3301
740	37.299
741	38.2959
742	39.3205
743	40.3681
744	41.443
745	42.5448
746	43.6732
747	44.8276
748	46.0073
749	47.2116
750	48.4394
751	49.6898
752	50.9616
753	52.2534
754	53.5636
755	54.8907
756	56.2329
757	57.5882
758	58.9546
759	60.3299
760	61.7118
761	63.0978
762	64.4855
763	65.8723
764	67.2555
765	68.6324
766	70.0003
767	71.3564
768	72.698
769	74.0224
770	75.3269
771	76.6091
772	77.8663
773	79.0963
774	80.2969
775	81.4659
776	82.6015
777	83.702
778	84.7657
779	85.7914
780	86.778
781	87.7245
782	88.6302
783	89.5019
784	90.3313
785	91.1184
786	91.8631
787	92.5659
788	93.2272
789	93.8476
790	94.428
791	94.9693
792	95.4724
793	95.9387
794	96.3692
795	96.7655
796	97.1289
797	97.4607
798	97.7626
799	98.0361
800	98.2826
801	98.5037
802	98.7008
803	98.8757
804	99.0296
805	99.164
806	99.2804
807	99.3802
808	99.4646
809	99.5349
810	99.5924
811	99.6383
812	99.6736
813	99.6994
814	99.7167
815	99.7265
816	99.7296
817	99.7269
818	99.7191
819	99.707
820	99.6913
821	99.6725
822	99.6512
823	99.628
824	99.6034
825	99.5777
826	99.5514
827	99.5241
828	99.4969
829	99.47
830	99.4437
831	99.4183
832	99.394
833	99.3709
834	99.3492
835	99.329
836	99.3104
837	99.2935
838	99.2783
839	99.2648
840	99.2532
841	99.2433
842	99.2352
843	99.2288
844	99.2241
845	99.2211
846	99.2197
847	99.2198
848	99.2213
849	99.2243
850	99.2285
851	99.2339
852	99.2405
853	99.248
854	99.2566
855	99.2659
856	99.276
857	99.2867
858	99.298
859	99.3098
860	99.3219
861	99.3343
862	99.3469
863	99.3595
864	99.3722
865	99.3849
866	99.3974
867	99.4097
868	99.4218
869	99.4335
870	99.4448
871	99.4557
872	99.4661
873	99.4759
874	99.4852
875	99.4938
876	99.5018
877	99.5091
878	99.5159
879	99.5221
880	99.5277
881	99.5327
882	99.5371
883	99.5409
884	99.544
885	99.5465
886	99.5484
887	99.5496
888	99.5503
889	99.5504
890	99.5498
891	99.5488
892	99.5471
893	99.545
894	99.5423
895	99.5391
896	99.5355
897	99.5314
898	99.5268
899	99.5219
900	99.5166
901	99.511
902	99.505
903	99.4988
904	99.4922
905	99.4855
906	99.4785
907	99.4713
908	99.464
909	99.4565
910	99.4489
911	99.4413
912	99.4336
913	99.4258
914	99.4181
915	99.4104
916	99.4027
917	99.3951
918	99.3876
919	99.3802
920	99.3729
921	99.3658
922	99.3588
923	99.3521
924	99.3455
925	99.3391
926	99.333
927	99.3272
928	99.3215
929	99.3162
930	99.3112
931	99.3064
932	99.3019
933	99.2978
934	99.2939
935	99.2899
936	99.2862
937	99.2829
938	99.2799
939	99.2772
940	99.2749
941	99.2729
942	99.2713
943	99.27
944	99.269
945	99.2683
946	99.268
947	99.268
948	99.2683
949	99.2689
950	99.2699
951	99.2711
952	99.2726
953	99.2744
954	99.2765
955	99.2788
956	99.2813
957	99.2841
958	99.2872
959	99.2904
960	99.2939
961	99.2975
962	99.3013
963	99.3053
964	99.3095
965	99.3138
966	99.3182
967	99.3227
968	99.3274
969	99.3321
970	99.3369
971	99.3418
972	99.3467
973	99.3516
974	99.3566
975	99.3616
976	99.3666
977	99.3716
978	99.3766
979	99.3815
980	99.3864
981	99.3913
982	99.396
983	99.4007
984	99.4053
985	99.4098
986	99.4142
987	99.4185
988	99.4227
989	99.4267
990	99.4306
991	99.4343
992	99.4379
993	99.4413
994	99.4446
995	99.4477
996	99.4506
997	99.4533
998	99.4558
999	99.4582
1000	99.4603
1001	99.462
1002	99.4636
1003	99.4649
1004	99.466
1005	99.467
1006	99.4677
1007	99.4682
1008	99.4685
1009	99.4686
1010	99.4686
1011	99.4683
1012	99.4678
1013	99.4671
1014	99.4662
1015	99.4651
1016	99.4639
1017	99.4624
1018	99.4607
1019	99.4589
1020	99.4569
1021	99.4547
1022	99.4524
1023	99.4498
1024	99.4472
1025	99.4443
1026	99.4413
1027	99.4382
1028	99.4349
1029	99.4315
1030	99.428
1031	99.4244
1032	99.4206
1033	99.4167
1034	99.4128
1035	99.4087
1036	99.4045
1037	99.4003
1038	99.396
1039	99.3916
1040	99.3872
1041	99.3827
1042	99.3781
1043	99.3735
1044	99.3689
1045	99.3643
1046	99.3596
1047	99.3549
1048	99.3503
1049	99.3456
1050	99.3409
1051	99.3362
1052	99.3316
1053	99.327
1054	99.3224
1055	99.3178
1056	99.3133
1057	99.3089
1058	99.3045
1059	99.3001
1060	99.2959
1061	99.2917
1062	99.2875
1063	99.2835
1064	99.2795
1065	99.2757
1066	99.2719
1067	99.2682
1068	99.2647
1069	99.2612
1070	99.2579
1071	99.2546
1072	99.2515
1073	99.2485
1074	99.2456
1075	99.2429
1076	99.2402
1077	99.2378
1078	99.2354
1079	99.2332
1080	99.2311
1081	99.2294
1082	99.2278
1083	99.2264
1084	99.2251
1085	99.224
1086	99.2229
1087	99.2221
1088	99.2213
1089	99.2208
1090	99.2203
1091	99.22
1092	99.2198
1093	99.2198
1094	99.2199
1095	99.2201
1096	99.2205
1097	99.221
1098	99.2216
1099	99.2224
1100	99.2233
1101	99.2243
1102	99.2254
1103	99.2267
1104	99.228
1105	99.2295
1106	99.2311
1107	99.2328
1108	99.2347
1109	99.2366
1110	99.2386
1111	99.2407
1112	99.2429
1113	99.2452
1114	99.2476
1115	99.2501
1116	99.2527
1117	99.2553
1118	99.258
1119	99.2608
1120	99.2636
1121	99.2665
1122	99.2695
1123	99.2725
1124	99.2756
1125	99.2787
1126	99.2818
1127	99.285
1128	99.2882
1129	99.2915
1130	99.2948
1131	99.2981
1132	99.3014
1133	99.3047
1134	99.308
1135	99.3114
1136	99.3147
1137	99.318
1138	99.3214
1139	99.3247
1140	99.328
1141	99.3313
1142	99.3346
1143	99.3378
1144	99.341
1145	99.3442
1146	99.3473
1147	99.3504
1148	99.3535
1149	99.3565
1150	99.3595
1151	99.3624
1152	99.3652
1153	99.368
1154	99.3707
1155	99.3734
1156	99.376
1157	99.3785
1158	99.381
1159	99.3833
1160	99.3856
1161	99.3878
1162	99.39
1163	99.392
1164	99.394
1165	99.3958
1166	99.3976
1167	99.3993
1168	99.4009
1169	99.4024
1170	99.4037
1171	99.405
1172	99.4062
1173	99.4072
1174	99.4082
1175	99.409
1176	99.4098
1177	99.4104
1178	99.4109
1179	99.4114
1180	99.4117
1181	99.4119
1182	99.412
1183	99.412
1184	99.4119
1185	99.4117
1186	99.4114
1187	99.411
1188	99.4105
1189	99.4099
1190	99.4091
1191	99.4083
1192	99.4074
1193	99.4063
1194	99.4052
1195	99.4039
1196	99.4026
1197	99.4012
1198	99.3996
1199	99.398
1200	99.3963
1201	99.3944
1202	99.3925
1203	99.3905
1204	99.3885
1205	99.3863
1206	99.384
1207	99.3817
1208	99.3793
1209	99.3768
1210	99.3742
1211	99.3715
1212	99.3688
1213	99.366
1214	99.3632
1215	99.3602
1216	99.3573
1217	99.3542
1218	99.3511
1219	99.3479
1220	99.3447
1221	99.3415
1222	99.3381
1223	99.3348
1224	99.3314
1225	99.3279
1226	99.3244
1227	99.3209
1228	99.3174
1229	99.3138
1230	99.3102
1231	99.3065
1232	99.3029
1233	99.2992
1234	99.2955
1235	99.2918
1236	99.2881
1237	99.2843
1238	99.2806
1239	99.2769
1240	99.2731
1241	99.2694
1242	99.2656
1243	99.2619
1244	99.2582
1245	99.2545
1246	99.2508
1247	99.2471
1248	99.2435
1249	99.2398
1250	99.2362
1251	99.2326
1252	99.2291
1253	99.2256
1254	99.2221
1255	99.2186
1256	99.2152
1257	99.2119
1258	99.2085
1259	99.2052
1260	99.202
1261	99.1988
1262	99.1957
1263	99.1926
1264	99.1896
1265	99.1866
1266	99.1837
1267	99.1808
1268	99.1781
1269	99.1753
1270	99.1727
1271	99.1701
1272	99.1676
1273	99.1651
1274	99.1627
1275	99.1604
1276	99.1582
1277	99.156
1278	99.1539
1279	99.1519
1280	99.15
1281	99.1482
1282	99.1465
1283	99.1448
1284	99.1432
1285	99.1417
1286	99.1403
1287	99.139
1288	99.1377
1289	99.1366
1290	99.1355
1291	99.1345
1292	99.1336
1293	99.1328
1294	99.1321
1295	99.1314
1296	99.1309
1297	99.1304
1298	99.1301
1299	99.1298
1300	99.1296
1301	99.1295
1302	99.1294
1303	99.1295
1304	99.1297
1305	99.1299
1306	99.1302
1307	99.1306
1308	99.1311
1309	99.1317
1310	99.1324
1311	99.1331
1312	99.1339
1313	99.1348
1314	99.1358
1315	99.1369
1316	99.138
1317	99.1393
1318	99.1406
1319	99.142
1320	99.1434
1321	99.1449
1322	99.1465
1323	99.1482
1324	99.1499
1325	99.1517
1326	99.1536
1327	99.1556
1328	99.1576
1329	99.1596
1330	99.1618
1331	99.1639
1332	99.1662
1333	99.1685
1334	99.1708
1335	99.1733
1336	99.1757
1337	99.1782
1338	99.1808
1339	99.1834
1340	99.1861
1341	99.1888
1342	99.1915
1343	99.1943
1344	99.1971
1345	99.1999
1346	99.2028
1347	99.2057
1348	99.2087
1349	99.2117
1350	99.2147
1351	99.144
1352	99.0735
1353	99.0033
1354	98.9332
1355	98.8632
1356	98.7935
1357	98.7239
1358	98.6545
1359	98.5853
1360	98.5162
1361	98.302
1362	98.0885
1363	97.8759
1364	97.664
1365	97.4529
1366	97.2425
1367	97.033
1368	96.8241
1369	96.6161
1370	96.4087
1371	96.3433
1372	96.278
1373	96.2129
1374	96.1479
1375	96.083
1376	96.0182
1377	95.9536
1378	95.889
1379	95.8246
1380	95.7603
1381	95.8355
1382	95.9107
1383	95.9858
1384	96.0608
1385	96.1357
1386	96.2105
1387	96.2852
1388	96.3599
1389	96.4344
1390	96.5089
1391	96.5833
1392	96.6576
1393	96.7318
1394	96.8058
1395	96.8798
1396	96.9537
1397	97.0275
1398	97.1012
1399	97.1748
1400	97.2482
1401	97.2935
1402	97.3386
1403	97.3836
1404	97.4285
1405	97.4733
1406	97.518
1407	97.5626
1408	97.6071
1409	97.6514
1410	97.6957
1411	97.7398
1412	97.7838
1413	97.8277
1414	97.8715
1415	97.9151
1416	97.9587
1417	98.0021
1418	98.0454
1419	98.0886
1420	98.1316
1421	98.1746
1422	98.2174
1423	98.2601
1424	98.3027
1425	98.3451
1426	98.3875
1427	98.4297
1428	98.4718
1429	98.5137
1430	98.5556
1431	98.5973
1432	98.6389
1433	98.6804
1434	98.7217
1435	98.763
1436	98.8041
1437	98.8451
1438	98.8859
1439	98.9267
1440	98.9673
1441	99.0078
1442	99.0482
1443	99.0884
1444	99.1285
1445	99.1685
1446	99.2084
1447	99.2482
1448	99.2879
1449	99.3274
1450	99.3668
1451	99.3648
1452	99.3627
1453	99.3605
1454	99.3583
1455	99.356
1456	99.3536
1457	99.3511
1458	99.3486
1459	99.346
1460	99.3433
1461	99.3406
1462	99.3378
1463	99.3349
1464	99.332
1465	99.329
1466	99.326
1467	99.3229
1468	99.3197
1469	99.3165
1470	99.3132
1471	99.3098
1472	99.3064
1473	99.303
1474	99.2995
1475	99.2959
1476	99.2923
1477	99.2887
1478	99.285
1479	99.2812
1480	99.2774
1481	99.2736
1482	99.2698
1483	99.2659
1484	99.2619
1485	99.2579
1486	99.2539
1487	99.2499
1488	99.2458
1489	99.2417
1490	99.2376
1491	99.2334
1492	99.2293
1493	99.2251
1494	99.2209
1495	99.2166
1496	99.2124
1497	99.2081
1498	99.2038
1499	99.1995
1500	99.1952
