#     lambda       flux     sys_error   FWHM   quality 
# A(Angstroms) erg/s/cm2/A  erg/s/cm2/A   A  1=ok,0=bad
   1195.0000   8.8615e-03   3.5446e-04   10.00   1.0000e+00
   1205.0000   6.9450e-02   2.7780e-03   10.00   1.0000e+00
   1215.0000   6.0810e-01   2.4324e-02   10.00   1.0000e+00
   1225.0000   1.4370e-01   5.7480e-03   10.00   1.0000e+00
   1235.0000   6.2695e-03   2.5078e-04   10.00   1.0000e+00
   1245.0000   4.0755e-03   1.6302e-04   10.00   1.0000e+00
   1255.0000   3.3780e-03   1.3512e-04   10.00   1.0000e+00
   1265.0000   4.1625e-03   1.6650e-04   10.00   1.0000e+00
   1275.0000   2.4150e-03   9.6600e-05   10.00   1.0000e+00
   1285.0000   1.9545e-03   7.8180e-05   10.00   1.0000e+00
   1295.0000   4.6680e-03   1.8672e-04   10.00   1.0000e+00
   1305.0000   1.3810e-02   5.5240e-04   10.00   1.0000e+00
   1315.0000   4.4810e-03   1.7924e-04   10.00   1.0000e+00
   1325.0000   4.6495e-03   1.8598e-04   10.00   1.0000e+00
   1335.0000   1.9305e-02   7.7220e-04   10.00   1.0000e+00
   1345.0000   5.0630e-03   2.0252e-04   10.00   1.0000e+00
   1355.0000   4.1965e-03   1.6786e-04   10.00   1.0000e+00
   1365.0000   3.4325e-03   1.3730e-04   10.00   1.0000e+00
   1375.0000   3.2260e-03   1.2904e-04   10.00   1.0000e+00
   1385.0000   4.4945e-03   1.7978e-04   10.00   1.0000e+00
   1395.0000   8.8990e-03   3.5596e-04   10.00   1.0000e+00
   1405.0000   6.8195e-03   2.7278e-04   10.00   1.0000e+00
   1415.0000   4.6125e-03   1.8450e-04   10.00   1.0000e+00
   1425.0000   5.1210e-03   2.0484e-04   10.00   1.0000e+00
   1435.0000   5.5790e-03   2.2316e-04   10.00   1.0000e+00
   1445.0000   5.5705e-03   2.2282e-04   10.00   1.0000e+00
   1455.0000   6.0395e-03   2.4158e-04   10.00   1.0000e+00
   1465.0000   7.6935e-03   3.0774e-04   10.00   1.0000e+00
   1475.0000   9.1945e-03   3.6778e-04   10.00   1.0000e+00
   1485.0000   8.8510e-03   3.5404e-04   10.00   1.0000e+00
   1495.0000   8.6170e-03   3.4468e-04   10.00   1.0000e+00
   1505.0000   9.3970e-03   3.7588e-04   10.00   1.0000e+00
   1515.0000   1.0007e-02   4.0026e-04   10.00   1.0000e+00
   1525.0000   1.2685e-02   5.0740e-04   10.00   1.0000e+00
   1535.0000   1.4125e-02   5.6500e-04   10.00   1.0000e+00
   1545.0000   2.2625e-02   9.0500e-04   10.00   1.0000e+00
   1555.0000   2.3435e-02   9.3740e-04   10.00   1.0000e+00
   1565.0000   1.9820e-02   7.9280e-04   10.00   1.0000e+00
   1575.0000   1.8435e-02   7.3740e-04   10.00   1.0000e+00
   1585.0000   1.7945e-02   7.1780e-04   10.00   1.0000e+00
   1595.0000   1.8710e-02   7.4840e-04   10.00   1.0000e+00
   1605.0000   2.0700e-02   8.2800e-04   10.00   1.0000e+00
   1615.0000   2.3815e-02   9.5260e-04   10.00   1.0000e+00
   1625.0000   2.7030e-02   1.0812e-03   10.00   1.0000e+00
   1635.0000   3.0875e-02   1.2350e-03   10.00   1.0000e+00
   1645.0000   3.2145e-02   1.2858e-03   10.00   1.0000e+00
   1655.0000   4.6160e-02   1.8464e-03   10.00   1.0000e+00
   1665.0000   4.2740e-02   1.7096e-03   10.00   1.0000e+00
   1675.0000   4.1415e-02   1.6566e-03   10.00   1.0000e+00
   1685.0000   4.8405e-02   1.9362e-03   10.00   1.0000e+00
   1695.0000   6.2390e-02   2.4956e-03   10.00   1.0000e+00
   1705.0000   7.0175e-02   2.8070e-03   10.00   1.0000e+00
   1715.0000   7.3305e-02   2.9322e-03   10.00   1.0000e+00
   1725.0000   7.7200e-02   3.0880e-03   10.00   1.0000e+00
   1735.0000   8.1255e-02   3.2502e-03   10.00   1.0000e+00
