#lambda    Y-band    J-band    H-band
 400         0.00001   0.00001   0.00001
 401         0.00001   0.00001   0.00001
 402         0.00001   0.00001   0.00001
 403         0.00001   0.00001   0.00001
 404         0.00001   0.00001   0.00001
 405         0.00001   0.00001   0.00001
 406         0.00001   0.00001   0.00001
 407         0.00001   0.00001   0.00001
 408         0.00001   0.00001   0.00001
 409         0.00001   0.00001   0.00001
 410         0.00001   0.00001   0.00001
 411         0.00001   0.00001   0.00001
 412         0.00001   0.00001   0.00001
 413         0.00001   0.00001   0.00001
 414         0.00001   0.00001   0.00001
 415         0.00001   0.00001   0.00001
 416         0.00001   0.00001   0.00001
 417         0.00001   0.00001   0.00001
 418         0.00001   0.00001   0.00001
 419         0.00001   0.00001   0.00001
 420         0.00001   0.00001   0.00001
 421         0.00001   0.00001   0.00001
 422         0.00001   0.00001   0.00001
 423         0.00001   0.00001   0.00001
 424         0.00001   0.00001   0.00001
 425         0.00001   0.00001   0.00001
 426         0.00001   0.00001   0.00001
 427         0.00001   0.00001   0.00001
 428         0.00001   0.00001   0.00001
 429         0.00001   0.00001   0.00001
 430         0.00001   0.00001   0.00001
 431         0.00001   0.00001   0.00001
 432         0.00001   0.00001   0.00001
 433         0.00001   0.00001   0.00001
 434         0.00001   0.00001   0.00001
 435         0.00001   0.00001   0.00001
 436         0.00001   0.00001   0.00001
 437         0.00001   0.00001   0.00001
 438         0.00001   0.00001   0.00001
 439         0.00001   0.00001   0.00001
 440         0.00001   0.00001   0.00001
 441         0.00001   0.00001   0.00001
 442         0.00001   0.00001   0.00001
 443         0.00001   0.00001   0.00001
 444         0.00001   0.00001   0.00001
 445         0.00001   0.00001   0.00001
 446         0.00001   0.00001   0.00001
 447         0.00001   0.00001   0.00001
 448         0.00001   0.00001   0.00001
 449         0.00001   0.00001   0.00001
 450         0.00001   0.00001   0.00001
 451         0.00001   0.00001   0.00001
 452         0.00001   0.00001   0.00001
 453         0.00001   0.00001   0.00001
 454         0.00001   0.00001   0.00001
 455         0.00001   0.00001   0.00001
 456         0.00001   0.00001   0.00001
 457         0.00001   0.00001   0.00001
 458         0.00001   0.00001   0.00001
 459         0.00001   0.00001   0.00001
 460         0.00001   0.00001   0.00001
 461         0.00001   0.00001   0.00001
 462         0.00001   0.00001   0.00001
 463         0.00001   0.00001   0.00001
 464         0.00001   0.00001   0.00001
 465         0.00001   0.00001   0.00001
 466         0.00001   0.00001   0.00001
 467         0.00001   0.00001   0.00001
 468         0.00001   0.00001   0.00001
 469         0.00001   0.00001   0.00001
 470         0.00001   0.00001   0.00001
 471         0.00001   0.00001   0.00001
 472         0.00001   0.00001   0.00001
 473         0.00001   0.00001   0.00001
 474         0.00001   0.00001   0.00001
 475         0.00001   0.00001   0.00001
 476         0.00001   0.00001   0.00001
 477         0.00001   0.00001   0.00001
 478         0.00001   0.00001   0.00001
 479         0.00001   0.00001   0.00001
 480         0.00001   0.00001   0.00001
 481         0.00001   0.00001   0.00001
 482         0.00001   0.00001   0.00001
 483         0.00001   0.00001   0.00001
 484         0.00001   0.00001   0.00001
 485         0.00001   0.00001   0.00001
 486         0.00001   0.00001   0.00001
 487         0.00001   0.00001   0.00001
 488         0.00001   0.00001   0.00001
 489         0.00001   0.00001   0.00001
 490         0.00001   0.00001   0.00001
 491         0.00001   0.00001   0.00001
 492         0.00001   0.00001   0.00001
 493         0.00001   0.00001   0.00001
 494         0.00001   0.00001   0.00001
 495         0.00001   0.00001   0.00001
 496         0.00001   0.00001   0.00001
 497         0.00001   0.00001   0.00001
 498         0.00001   0.00001   0.00001
 499         0.00001   0.00001   0.00001
 500         0.00001   0.00001   0.00001
 501         0.00001   0.00001   0.00001
 502         0.00001   0.00001   0.00001
 503         0.00001   0.00001   0.00001
 504         0.00001   0.00001   0.00001
 505         0.00001   0.00001   0.00001
 506         0.00001   0.00001   0.00001
 507         0.00001   0.00001   0.00001
 508         0.00001   0.00001   0.00001
 509         0.00001   0.00001   0.00001
 510         0.00001   0.00001   0.00001
 511         0.00001   0.00001   0.00001
 512         0.00001   0.00001   0.00001
 513         0.00001   0.00001   0.00001
 514         0.00001   0.00001   0.00001
 515         0.00001   0.00001   0.00001
 516         0.00001   0.00001   0.00001
 517         0.00001   0.00001   0.00001
 518         0.00001   0.00001   0.00001
 519         0.00001   0.00001   0.00001
 520         0.00001   0.00001   0.00001
 521         0.00001   0.00001   0.00001
 522         0.00001   0.00001   0.00001
 523         0.00001   0.00001   0.00001
 524         0.00001   0.00001   0.00001
 525         0.00001   0.00001   0.00001
 526         0.00001   0.00001   0.00001
 527         0.00001   0.00001   0.00001
 528         0.00001   0.00001   0.00001
 529         0.00001   0.00001   0.00001
 530         0.00001   0.00001   0.00001
 531         0.00001   0.00001   0.00001
 532         0.00001   0.00001   0.00001
 533         0.00001   0.00001   0.00001
 534         0.00001   0.00001   0.00001
 535         0.00001   0.00001   0.00001
 536         0.00001   0.00001   0.00001
 537         0.00001   0.00001   0.00001
 538         0.00001   0.00001   0.00001
 539         0.00001   0.00001   0.00001
 540         0.00001   0.00001   0.00001
 541         0.00001   0.00001   0.00001
 542         0.00001   0.00001   0.00001
 543         0.00001   0.00001   0.00001
 544         0.00001   0.00001   0.00001
 545         0.00001   0.00001   0.00001
 546         0.00001   0.00001   0.00001
 547         0.00001   0.00001   0.00001
 548         0.00001   0.00001   0.00001
 549         0.00001   0.00001   0.00001
 550         0.00001   0.00001   0.00001
 551         0.00001   0.00001   0.00001
 552         0.00001   0.00001   0.00001
 553         0.00001   0.00001   0.00001
 554         0.00001   0.00001   0.00001
 555         0.00001   0.00001   0.00001
 556         0.00001   0.00001   0.00001
 557         0.00001   0.00001   0.00001
 558         0.00001   0.00001   0.00001
 559         0.00001   0.00001   0.00001
 560         0.00001   0.00001   0.00001
 561         0.00001   0.00001   0.00001
 562         0.00001   0.00001   0.00001
 563         0.00001   0.00001   0.00001
 564         0.00001   0.00001   0.00001
 565         0.00001   0.00001   0.00001
 566         0.00001   0.00001   0.00001
 567         0.00001   0.00001   0.00001
 568         0.00001   0.00001   0.00001
 569         0.00001   0.00001   0.00001
 570         0.00001   0.00001   0.00001
 571         0.00001   0.00001   0.00001
 572         0.00001   0.00001   0.00001
 573         0.00001   0.00001   0.00001
 574         0.00001   0.00001   0.00001
 575         0.00001   0.00001   0.00001
 576         0.00001   0.00001   0.00001
